编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
6-A,该作物	种植期的早晚取决于气候条件,None,,,7,,该 作物 种植期 的 早晚 取决 于 气候 条件,该 作物 种植期 的 早晚 取决 于 气候 条件,DT NN NN DEG NN VV P term NN,,影响_0（气候条件，该作物种植期的早晚，#）,影响_0（气候条件，该作物种植期的早晚，#）,0_5-6,0_5-6,影响,影响,,,该 作物 种植期 的 早晚 取决 于 气候 条件,该 作物 种植期 的 早晚 取决 于 气候 条件,DT NN NN DEG NN VV P term NN,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 作物))) (NP (NN 种植期))) (DEG 的)) (NP (NN 早晚))) (VP (VV 取决) (PP (P 于) (NP (NN 气候) (NN 条件))))) )
6-B,该作物	灌浆期的早晚取决于成土母质,None,,,7,,该 作物 灌浆期 的 早晚 取决 于 成土母质,该 作物 灌浆期 的 早晚 取决 于 成土 母质,DT NN NN DEG NN VV P term,,影响_0（成土母质，该作物灌浆期的早晚，#）,影响_0（成土母质，该作物灌浆期的早晚，#）,0_5-6,0_5-6,影响,影响,,,该 作物 灌浆期 的 早晚 取决 于 成土 母质,该 作物 灌浆期 的 早晚 取决 于 成土 母质,DT NN NN DEG NN VV P term,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 作物))) (NP (NN 灌浆期))) (DEG 的)) (NP (NN 早晚))) (VP (VV 取决) (PP (P 于) (NP (NN 成土母质))))) )
6-C,该作物	收割期的早晚取决于农业政策,None,,,,,该 作物 收割期 的 早晚 取决 于 农业 政策,该 作物 收割期 的 早晚 取决 于 农业 政策,DT NN NN DEG NN VV P NN NN,,影响_0（农业政策，该作物收割期的早晚，#）,影响_0（农业政策，该作物收割期的早晚，#）,0_5-6,0_5-6,影响,影响,,,该 作物 收割期 的 早晚 取决 于 农业 政策,该 作物 收割期 的 早晚 取决 于 农业 政策,DT NN NN DEG NN VV P NN NN,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 作物))) (NP (NN 收割期))) (DEG 的)) (NP (NN 早晚))) (VP (VV 取决) (PP (P 于) (NP (NN 农业) (NN 政策))))) )
6-D,该作物	一个生产周期至少为8个月,None,7,,,2,该 作物 一个 生产 周期 至少 为 8个月,该 作物 一 个 生产 周期 至少 为 8 个 月,DT NN num NN NN AD VC time,,实体信息陈述_0（该作物，一个生产周期，至少为8个月）,实体信息陈述_0（该作物，一个生产周期，至少为8个月）,,,实体信息陈述,实体信息陈述,,,该 作物 一 个 生产 周期 至少 为 8 个 月,该 作物 一 个 生产 周期 至少 为 8 个 月,DT NN num NN NN AD VC time,( (IP (NP (NP (DP (DT 该)) (NP (NN 作物))) (QP (CD 一个)) (NP (NN 生产) (NN 周期))) (VP (ADVP (AD 至少)) (VP (VC 为) (NP (NT 8个月))))) )
7-A,该作物处于开花期时，正值	赤道正午太阳高度最大,None,,,7 8,,该 作物 处于 开花期 时 ， 正值 赤道 正午太阳高度 最 大,该 作物 处于 开花期 时 ， 正值 赤道 正午 太阳 高度 最 大,DT NN VV NN LC PU VV term term AD VA,,时间限定_0（该作物处于开花期）最值_1（赤道，正午太阳高度角，最大，#）,时间限定_0（该作物处于开花期）最值_1（赤道，正午太阳高度角，最大，#）,1_9-10,1_9-10,时间限定 最值,时间限定 最值,,,该 作物 处于 开花期 时 ， 正值 赤道 正午太阳高度 最 大,该 作物 处于 开花期 时 ， 正值 赤道 正午太阳高度 最 大,DT NN VV NN LC PU AD term term AD VA,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 作物))) (VP (VV 处于) (NP (NN 开花期)))) (LC 时)) (PU ，) (NP (IP (VP (VV 正值) (NP (NN 赤道)))) (NP (NN 正午太阳高度))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
7-B,该作物处于开花期时，正值	地中海沿岸炎热干燥,None,,7,,,该 作物 处于 开花期 时 ， 正值 地中海沿岸 炎热 干燥,该 作物 处于 开花期 时 ， 正值 地中海 沿岸 炎热 干燥,DT NN VV NN LC PU VV loc VA VA,,时间限定_0（该作物处于开花期）实体信息陈述_1（地中海沿岸，#，炎热干燥）,时间限定_0（该作物处于开花期）实体信息陈述_1（地中海沿岸，#，炎热干燥）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,该 作物 处于 开花期 时 ， 正值 地中海 沿岸 炎热 干燥,该 作物 处于 开花期 时 ， 正值 地中海 沿岸 炎热 干燥,DT NN VV NN LC PU AD loc NN VA,( (IP (NP (DP (DT 该)) (NP (NN 作物))) (VP (LCP (IP (VP (VV 处于) (NP (NN 开花期)))) (LC 时)) (PU ，) (VP (VP (VV 正值) (NP (NR 地中海沿岸))) (VP (VCD (VA 炎热) (VA 干燥)))))) )
7-C,该作物处于开花期时，正值	中国东北平原昼长夜短,None,,7,,,该 作物 处于 开花期 时 ， 正值 中国东北平原 昼 长 夜 短,该 作物 处于 开花期 时 ， 正值 中国 东北 平原 昼 长 夜 短,DT NN VV NN LC PU VV loc NN VA NN VA,,时间限定_0（该作物处于开花期）实体信息陈述_1（中国东北平原，#，昼长夜短）,时间限定_0（该作物处于开花期）实体信息陈述_1（中国东北平原，#，昼长夜短）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,该 作物 处于 开花期 时 ， 正值 中国 东 北平原 昼 长夜 短,该 作物 处于 开花期 时 ， 正值 中国 东北平原 昼 长夜 短,DT NN VV NN LC PU AD loc VV JJ NN VA,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 作物))) (VP (VV 处于) (NP (NN 开花期)))) (LC 时)) (PU ，) (IP (VP (VV 正值) (NP (NR 中国东北平原)))) (IP (NP (NN 昼)) (VP (VA 长))) (IP (NP (NN 夜)) (VP (VA 短)))) )
7-D,该作物处于开花期时，正值	潘帕斯草原草木茂盛,None,,7,,,该 作物 处于 开花期 时 ， 正值 潘帕斯草原 草木 茂盛,该 作物 处于 开花期 时 ， 正值 潘帕斯 草原 草木 茂盛,DT NN VV NN LC PU VV loc NN VA,,时间限定_0（该作物处于开花期）实体信息陈述_1（潘帕斯草原，#，草木茂盛）,时间限定_0（该作物处于开花期）实体信息陈述_1（潘帕斯草原，#，草木茂盛）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,该 作物 处于 开花期 时 ， 正值 潘帕斯 草原 草木 茂盛,该 作物 处于 开花期 时 ， 正值 潘帕斯 草原 草木 茂盛,DT NN VV NN LC PU AD loc NN NN,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 作物))) (VP (VV 处于) (NP (NN 开花期)))) (LC 时)) (PU ，) (IP (VP (VV 正值) (NP (NR 潘帕斯草原)))) (NP (NN 草木)) (VP (VA 茂盛))) )
8-A,图中①②③④所示城市空间最合理的作用方式分别为	电影院、厂房、住宅、银行,None,,,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 电影院 、 厂房 、 住宅 、 银行,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 电影院 、 厂房 、 住宅 、 银行,NN LC NN NN NN NN VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,,匹配_0（①最合理的作用方式，电影院）匹配_1（②最合理的作用方式，厂房）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，银行）,匹配_0（①最合理的作用方式，电影院）匹配_1（②最合理的作用方式，厂房）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，银行）,0_14-5 1_14-5 2_14-5 3_14-5,0_14-5 1_14-5 2_14-5 3_14-5,匹配,匹配,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 电影院 、 厂房 、 住宅 、 银行,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 电影院 、 厂房 、 住宅 、 银行,NN LC NR VV NN AD VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VP (VV 所示) (NP (NN 城市) (NN 空间))) (VP (ADVP (AD 最)) (VP (VA 合理))))) (DEC 的)) (NP (NN 作用) (NN 方式))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN 电影院) (PU 、) (NN 厂房) (PU 、) (NN 住宅) (PU 、) (NN 银行))))) )
8-B,图中①②③④所示城市空间最合理的作用方式分别为	零售店、电影院、石房、办公室,None,,,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 零售店 、 电影院 、 石房 、 办公室,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 零售店 、 电影院 、 石房 、 办公室,NN LC NN NN NN NN VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,,匹配_0（①最合理的作用方式，零售店）匹配_1（②最合理的作用方式，电影院）匹配_2（③最合理的作用方式，石房）匹配_3（④最合理的作用方式，办公室）,匹配_0（①最合理的作用方式，零售店）匹配_1（②最合理的作用方式，电影院）匹配_2（③最合理的作用方式，石房）匹配_3（④最合理的作用方式，办公室）,0_14-5 1_14-5 2_14-5 3_14-5,0_14-5 1_14-5 2_14-5 3_14-5,匹配,匹配,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 零售店 、 电影院 、 石房 、 办公 室,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 零售店 、 电影院 、 石房 、 办公 室,NN LC NR VV NN AD VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VP (VV 所示) (NP (NN 城市) (NN 空间))) (VP (ADVP (AD 最)) (VP (VA 合理))))) (DEC 的)) (NP (NN 作用) (NN 方式))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN 零售店) (PU 、) (NN 电影院) (PU 、) (NN 石房) (PU 、) (NN 办公室))))) )
8-C,图中①②③④所示城市空间最合理的作用方式分别为	办公室、零售店、住宅、厂房,None,,,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 办公室 、 零售店 、 住宅 、 厂房,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 办公室 、 零售店 、 住宅 、 厂房,NN LC NN NN NN NN VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,,匹配_0（①最合理的作用方式，办公室）匹配_1（②最合理的作用方式，零售店）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，厂房）,匹配_0（①最合理的作用方式，办公室）匹配_1（②最合理的作用方式，零售店）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，厂房）,0_14-5 1_14-5 2_14-5 3_14-5,0_14-5 1_14-5 2_14-5 3_14-5,匹配,匹配,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 办公室 、 零售店 、 住宅 、 厂房,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 办公室 、 零售店 、 住宅 、 厂房,NN LC NR VV NN AD VV NN NN AD VA DEC NN NN AD VC NN PU NN PU NN PU NN,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VP (VV 所示) (NP (NN 城市) (NN 空间))) (VP (ADVP (AD 最)) (VP (VA 合理))))) (DEC 的)) (NP (NN 作用) (NN 方式))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NN 办公室) (PU 、) (NN 零售店) (PU 、) (NN 住宅) (PU 、) (NN 厂房))))) )
8-D,图中①②③④所示城市空间最合理的作用方式分别为	批发市场、办公室、住宅、零售店,None,,,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 批发 市场 、 办公室 、 住宅 、 零售店,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 批发 市场 、 办公室 、 住宅 、 零售店,NN LC NN NN NN NN VV NN NN AD VA DEC NN NN AD VC NN NN PU NN PU NN PU NN,,匹配_0（①最合理的作用方式，批发市场）匹配_1（②最合理的作用方式，办公室）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，零售店）,匹配_0（①最合理的作用方式，批发市场）匹配_1（②最合理的作用方式，办公室）匹配_2（③最合理的作用方式，住宅）匹配_3（④最合理的作用方式，零售店）,0_14-5 1_14-5 2_14-5 3_14-5,0_14-5 1_14-5 2_14-5 3_14-5,匹配,匹配,,,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 批发 市场 、 办公室 、 住宅 、 零售 店,图 中 ① ② ③ ④ 所示 城市 空间 最 合理 的 作用 方式 分别 为 批发 市场 、 办公室 、 住宅 、 零售 店,NN LC NR VV NN AD VV NN NN AD VA DEC NN NN AD VC VV NN PU NN PU NN PU NN,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VP (VV 所示) (NP (NN 城市) (NN 空间))) (VP (ADVP (AD 最)) (VP (VA 合理))))) (DEC 的)) (NP (NN 作用) (NN 方式))) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (NP (NN 批发) (NN 市场)) (PU 、) (NP (NN 办公室)) (PU 、) (NP (NN 住宅)) (PU 、) (NP (NN 零售店)))))) )
9-A,与图示地区山体岩石、地貌类型及其形成的外力作用对应的是	石灰岩、球状风化地貌、风力作用,None,,,6 12 16 18 20,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 球状风化地貌 、 风力作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力 作用 对应 的 是 石灰岩 、 球状 风化 地貌 、 风力 作用,P VV NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,,匹配_0（图示地区山体岩石，石灰岩）匹配_1（图示地区地貌类型，球状风化地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，风力作用）,匹配_0（图示地区山体岩石，石灰岩）匹配_1（图示地区地貌类型，球状风化地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，风力作用）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 球状风化 地貌 、 风力 作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 球状风化 地貌 、 风力 作用,P NN NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,( (IP (NP (CP (IP (VP (PP (P 与) (NP (NP (IP (VP (VV 图示) (NP (NN 地区) (NN 山体)))) (NP (NN 岩石) (PU 、) (NN 地貌)) (NP (NN 类型))) (CC 及) (NP (CP (IP (NP (PN 其)) (VP (VV 形成))) (DEC 的)) (NP (NN 外力作用))))) (VP (VV 对应)))) (DEC 的))) (VP (VC 是) (NP (NN 石灰岩) (PU 、) (NN 球状风化地貌) (PU 、) (NN 风力作用)))) )
9-B,与图示地区山体岩石、地貌类型及其形成的外力作用对应的是	花岗岩、流水堆积地貌、流水作用,None,,,6 12 16 18 20,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 花岗岩 、 流水堆积地貌 、 流水作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力 作用 对应 的 是 花岗岩 、 流水 堆积 地貌 、 流水 作用,P VV NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,,匹配_0（图示地区山体岩石，花岗岩）匹配_1（图示地区地貌类型，流水堆积地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，流水作用）,匹配_0（图示地区山体岩石，花岗岩）匹配_1（图示地区地貌类型，流水堆积地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，流水作用）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 花岗岩 、 流水堆积 地貌 、 流水 作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 花岗岩 、 流水堆积 地貌 、 流水 作用,P NN NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,( (IP (NP (CP (IP (VP (PP (P 与) (NP (NP (IP (VP (VV 图示) (NP (NN 地区) (NN 山体)))) (NP (NN 岩石) (PU 、) (NN 地貌)) (NP (NN 类型))) (CC 及) (NP (CP (IP (NP (PN 其)) (VP (VV 形成))) (DEC 的)) (NP (NN 外力作用))))) (VP (VV 对应)))) (DEC 的))) (VP (VC 是) (NP (NN 花岗岩) (PU 、) (NN 流水堆积地貌) (PU 、) (NN 流水作用)))) )
9-C,与图示地区山体岩石、地貌类型及其形成的外力作用对应的是	大理岩、喀斯特地貌、风力作用,None,,,6 12 16 18 20,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 大理岩 、 喀斯特地貌 、 风力作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力 作用 对应 的 是 大理岩 、 喀斯特 地貌 、 风力 作用,P VV NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,,匹配_0（图示地区山体岩石，大理岩）匹配_1（图示地区地貌类型，喀斯特地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，风力作用）,匹配_0（图示地区山体岩石，大理岩）匹配_1（图示地区地貌类型，喀斯特地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，风力作用）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 大理岩 、 喀斯特地貌 、 风力 作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 大理岩 、 喀斯特地貌 、 风力 作用,P NN NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,( (IP (NP (CP (IP (VP (PP (P 与) (NP (NP (IP (VP (VV 图示) (NP (NN 地区) (NN 山体)))) (NP (NN 岩石) (PU 、) (NN 地貌)) (NP (NN 类型))) (CC 及) (NP (CP (IP (NP (PN 其)) (VP (VV 形成))) (DEC 的)) (NP (NN 外力作用))))) (VP (VV 对应)))) (DEC 的))) (VP (VC 是) (NP (NN 大理岩) (PU 、) (NN 喀斯特地貌) (PU 、) (NN 风力作用)))) )
9-D,与图示地区山体岩石、地貌类型及其形成的外力作用对应的是	石灰岩、喀斯特地貌、流水作用,None,,,6 12 16 18 20,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 喀斯特地貌 、 流水作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力 作用 对应 的 是 石灰岩 、 喀斯特 地貌 、 流水 作用,P VV NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,,匹配_0（图示地区山体岩石，石灰岩）匹配_1（图示地区地貌类型，喀斯特地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，流水作用）,匹配_0（图示地区山体岩石，石灰岩）匹配_1（图示地区地貌类型，喀斯特地貌）匹配_2（图示地区山体岩石、地貌类型形成的外力作用，流水作用）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 喀斯特地貌 、 流水 作用,与 图示 地区 山体 岩石 、 地貌 类型 及 其 形成 的 外力作用 对应 的 是 石灰岩 、 喀斯特地貌 、 流水 作用,P NN NN NN NN PU term NN CC PN VV DEC term VV DEC VC term PU term PU term,( (IP (NP (CP (IP (VP (PP (P 与) (NP (NP (IP (VP (VV 图示) (NP (NN 地区) (NN 山体)))) (NP (NN 岩石) (PU 、) (NN 地貌)) (NP (NN 类型))) (CC 及) (NP (CP (IP (NP (PN 其)) (VP (VV 形成))) (DEC 的)) (NP (NN 外力作用))))) (VP (VV 对应)))) (DEC 的))) (VP (VC 是) (NP (NN 石灰岩) (PU 、) (NN 喀斯特地貌) (PU 、) (NN 流水作用)))) )
10-A,该地区成为著名旅游地的优势在于	地处热带，风景优美，环境承载量大,y,,,14,,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境承载量 大,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,DT NN VV JJ NN DEG NN VV VV NN PU NN VA PU term JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，地处热带）实体信息陈述_1（该地区成为著名旅游地，优势，风景优美）实体信息陈述_2（该地区成为著名旅游地，优势，环境承载量大）,实体信息陈述_0（该地区成为著名旅游地，优势，位于_1（该地区，热带））实体信息陈述_2（该地区成为著名旅游地，优势，风景优美）实体信息陈述_3（该地区成为著名旅游地，优势，环境承载量大）,,2_8,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 位于 实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,DT NN VV JJ NN NN DEG NN VV VV NN PU NN VA PU term JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (VP (VV 地处) (NP (NN 热带)))) (PU ，) (IP (NP (NN 风景)) (VP (VA 优美))) (PU ，) (IP (NP (NN 环境承载量)) (VP (ADJP (JJ 大)))))))) )
10-A-0,该地区成为著名旅游地的优势在于	地处热带,ed-ori,,,9,,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带,DT NN VV JJ NN DEG NN VV VV term,,实体信息陈述_0（该地区成为著名旅游地，优势，地处热带）,实体信息陈述_0（该地区成为著名旅游地，优势，位于_1（该地区，热带））,,1_8,实体信息陈述,实体信息陈述 位于,,,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带,DT NN VV JJ NN NN DEG NN VV VV term,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (VP (VV 地处) (NP (NN 热带)))))) )
10-A-1,该地区成为著名旅游地的优势在于	风景优美,ed-ori,,,,,该 地区 成为 著名 旅游地 的 优势 在于 风景 优美,该 地区 成为 著名 旅游地 的 优势 在于 风景 优美,DT NN VV JJ NN DEG NN VV NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，风景优美）,实体信息陈述_0（该地区成为著名旅游地，优势，风景优美）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 风景 优美,该 地区 成为 著名 旅游 地 的 优势 在于 风景 优美,DT NN VV JJ NN NN DEG NN VV NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 风景)) (VP (VA 优美)))))) )
10-A-2,该地区成为著名旅游地的优势在于	环境承载量大,ed-ori,,,8,,该 地区 成为 著名 旅游地 的 优势 在于 环境承载量 大,该 地区 成为 著名 旅游地 的 优势 在于 环境 承载量 大,DT NN VV JJ NN DEG NN VV term JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，环境承载量大）,实体信息陈述_0（该地区成为著名旅游地，优势，环境承载量大）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 环境 承载量 大,该 地区 成为 著名 旅游 地 的 优势 在于 环境 承载量 大,DT NN VV JJ NN NN DEG NN VV term JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 环境承载量)) (VP (ADJP (JJ 大))))))) )
10-B,该地区成为著名旅游地的优势在于	景观具有春翡夏翠秋金冬银的季节特点,None,,,,,该 地区 成为 著名 旅游地 的 优势 在于 景观 具有 春 翡 夏 翠 秋 金 冬 银 的 季节 特点,该 地区 成为 著名 旅游地 的 优势 在于 景观 具有 春 翡 夏 翠 秋 金 冬 银 的 季节 特点,DT NN VV JJ NN DEG NN VV NN VV NN VA NN VA NN VA NN VA DEG NN NN,,实体信息陈述_0（该地区成为著名旅游地，优势，景观具有春翡夏翠秋金冬银的季节特点）,实体信息陈述_0（该地区成为著名旅游地，优势，景观具有春翡夏翠秋金冬银的季节特点）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 景观 具有 春翡 夏翠 秋金 冬银 的 季节 特点,该 地区 成为 著名 旅游 地 的 优势 在于 景观 具有 春翡 夏翠 秋金 冬银 的 季节 特点,DT NN VV JJ NN NN DEG NN VV NN VV NN NN NN NN DEG NN NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 景观)) (VP (VV 具有) (NP (IP (IP (NP (NN 春)) (VP (VA 翡))) (IP (NP (NN 夏)) (VP (VA 翠)))) (NP (DNP (IP (IP (NP (NN 秋)) (VP (VA 金))) (IP (NP (NN 冬)) (VP (VA 银)))) (DEG 的)) (NP (NN 季节) (NN 特点))))))))) )
